date,pol_ru,rank,avg_score
Jul-07,Полтавченко Георгий Сергеевич,75,3.47
Jul-07,Зубков Виктор Алексеевич,77,3.40
Jul-07,Пехтин Владимир Алексеевич,77,3.40
Jul-07,Шанцев Валерий Павлинович,77,3.40
Jul-07,Абрамов Александр Сергеевич,80,3.33
Jul-07,Бельянинов Андрей Юрьевич,81,3.27
Jul-07,Зорькин Валерий Дмитриевич,81,3.27
Jul-07,Резник Владислав Матусович,81,3.27
Jul-07,Ресин Владимир Иосифович,81,3.27
Jul-07,Алешин Борис Сергеевич,85,3.20
Jul-07,Клебанов Илья Иосифович,85,3.20
Jul-07,Поллыева Джахан Реджеповна,85,3.20
Jul-07,Соколов Александр Сергеевич,85,3.20
Jul-07,Говорун Олег Маркович,89,3.13
Jul-07,Латышев Петр Михайлович,89,3.13
Jul-07,Ястржембский Сергей Владимирович,89,3.13
Jul-07,Исхаков Камиль Шамильевич,92,3.07
Jul-07,Морозов Олег Викторович,92,3.07
Jul-07,Тулеев Амангельды Молдагазыевич,94,3.00
Jul-07,Бабаков Александр Михайлович,95,2.93
Jul-07,Боос Георгий Валентинович,95,2.93
Jul-07,Примаков Евгений Максимович,95,2.93
Jul-07,Улюкаев Алексей Валентинович,95,2.93
Jul-07,Зеленин Дмитрий Вадимович,99,2.87
Jul-07,Коновалов Александр Владимирович,100,2.80
Jul-07,Косачев Константин Иосифович,100,2.80
Jul-07,Плигин Владимир Николаевич,100,2.80
Jul-07,Пугачев Сергей Борисович,100,2.80
Aug-07,Путин Владимир Владимирович,1,9.79
Aug-07,Иванов Сергей Борисович,2,8.07
Aug-07,Медведев Дмитрий Анатольевич,3,7.71
Aug-07,Сурков Владислав Юрьевич,4,7.29
Aug-07,Сечин Игорь Иванович,5,7.14
Aug-07,Собянин Сергей Семенович,6,6.93
Aug-07,Фрадков Михаил Ефимович,6,6.93
Aug-07,Патрушев Николай Платонович,8,6.64
Aug-07,Кудрин Алексей Леонидович,9,6.57
Aug-07,Греф Герман Оскарович,10,6.50
Aug-07,Алексий II,11,6.43
Aug-07,Миллер Алексей Борисович,12,6.21
Aug-07,Миронов Сергей Михайлович,12,6.21
Aug-07,Нарышкин Сергей Евгеньевич,12,6.21
Aug-07,Якунин Владимир Иванович,12,6.21
Aug-07,Иванов Виктор Петрович,16,6.14
Aug-07,Лужков Юpий Михайлович,17,6.07
Aug-07,Грызлов Борис Вячеславович,18,5.93
Aug-07,Дерипаска Олег Владимирович,19,5.86
Aug-07,Громов Алексей Алексеевич,20,5.50
